project,lakeID,initSample,sample1,sample2,sample3,sample4,sample5,sample6,sample7
3M,PE,5/23/19,5/24/19,5/27/19,5/30/19,6/4/19,6/9/19,6/14/19,6/19/19
3M,PA,5/23/19,5/24/19,5/27/19,5/30/19,6/4/19,6/9/19,6/14/19,6/19/19
3M,HB,5/31/19,6/4/19,6/6/19,6/11/19,6/16/19,6/21/19,6/26/19,
3M,CB,5/31/19,6/4/19,6/6/19,6/11/19,6/16/19,6/21/19,6/26/19,
3M,CR,6/10/19,6/14/19,6/19/19,6/24/19,6/29/19,7/3/19,7/8/19,
3M,BA,6/13/19,6/16/19,6/21/19,6/26/19,7/1/19,7/7/19,7/12/19,
PE&PAeutroph,PA,6/5/19,6/6/19,6/9/19,6/13/19,6/16/19,,,
PE&PAeutroph,PE,6/5/19,6/6/19,6/9/19,6/13/19,6/16/19,,,
PE&PAeutroph,PA,6/12/19,6/13/19,6/16/19,6/19/19,6/21/19,,,
PE&PAeutroph,PE,6/12/19,6/13/19,6/16/19,6/19/19,6/21/19,,,
