"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_19052101",3,NA,NA,"2019-05-21","2019-05-21 00:00",NA,NA,NA,"air","2019-05-21 00:00","run19052101","2019-05-21",1,"gc180508",1,19052101,NA,1.46,2.194,1.01043,2.65815,20.0637199270569,716.710988412904,0.827990801640608,29.5772722106414
"2_19052101",3,NA,NA,"2019-05-21","2019-05-21 00:00",NA,NA,NA,"standard034","2019-05-21 00:00","run19052101","2019-05-21",1,"gc180508",2,19052101,NA,1.455,2.194,3.42688,1.27535,68.0462382783892,343.869743645918,0,0
"3_19052101",3,NA,NA,"2019-05-21","2019-05-21 00:00",NA,NA,NA,"standard035","2019-05-21 00:00","run19052101","2019-05-21",1,"gc180508",3,19052101,NA,1.457,2.192,1.79427,3.18439,35.6281293642513,858.599892553907,0,0
"4_19052101",3,NA,NA,"2019-05-21","2019-05-21 00:00",NA,NA,NA,"standard036","2019-05-21 00:00","run19052101","2019-05-21",1,"gc180508",4,19052101,NA,1.452,2.191,22.89898,15.25613,454.696239556701,4113.47591808429,0,0
"5_19052101",3,NA,NA,"2019-05-21","2019-05-21 00:00",NA,NA,NA,"standard037","2019-05-21 00:00","run19052101","2019-05-21",1,"gc180508",5,19052101,NA,1.452,2.191,138.41176,26.61494,2748.3890890522,7176.1262358972,0,0
"6_19052101",3,NA,NA,"2019-05-21","2019-05-21 00:00",NA,NA,NA,"standard038","2019-05-21 00:00","run19052101","2019-05-21",1,"gc180508",6,19052101,NA,1.451,2.19,158.10126,30.60162,3139.35591852459,8251.04577139593,0,0
"7_19052101",3,NA,NA,"2019-05-21","2019-05-21 00:00",NA,NA,NA,"air","2019-05-21 00:00","run19052101","2019-05-21",2,"gc180508",7,19052101,NA,1.46,2.192,1.07029,1.89372,21.2523369265854,510.599451865878,0.877042719523298,21.071448913995
"8_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","atm",NA,NA,"atm","2019-05-21 08:56","run19052101","2019-05-21",1,"gc180508",8,19052101,NA,1.459,2.191,1.5804,2.19287,31.3813950226347,591.258591562178,1.29504929872709,24.4000951460788
"9_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","atm",NA,NA,"atm","2019-05-21 08:56","run19052101","2019-05-21",2,"gc180508",9,19052101,NA,1.458,2.192,1.56383,1.93791,31.0523709049903,522.514301884864,1.28147111163528,21.5631516617663
"10_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","point",0.25,0.25,"pCO2","2019-05-21 08:56","run19052101","2019-05-21",1,"gc180508",10,19052101,NA,1.456,2.191,1.37695,2.78261,27.3415666137793,750.268857463887,0.413739463440178,35.7775503892504
"11_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","point",0.25,0.25,"pCO2","2019-05-21 08:56","run19052101","2019-05-21",2,"gc180508",11,19052101,NA,1.457,2.19,1.31621,2.22007,26.135475792674,598.592466206134,0.39548859375765,28.5446635686147
"12_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","point",0.25,0.25,"pCO2","2019-05-21 08:56","run19052101","2019-05-21",3,"gc180508",12,19052101,NA,1.455,2.192,0.984964,2.21414,19.5580513585639,596.993573682654,0.295957352749113,28.4684182903299
"13_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","point",0.25,0.25,"DIC","2019-05-21 08:56","run19052101","2019-05-21",1,"gc180508",13,19052101,NA,1.457,2.191,1.15976,2.62047,23.0289083089413,706.551415009071,0.982051482685724,53.1314979293224
"14_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","point",0.25,0.25,"DIC","2019-05-21 08:56","run19052101","2019-05-21",2,"gc180508",14,19052101,NA,1.456,2.19,1.14044,2.95838,22.6452784988696,797.661326073008,0.965691861173093,59.9828125657416
"15_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","point",8,8,"DIC","2019-05-21 08:56","run19052101","2019-05-21",1,"gc180508",15,19052101,NA,1.451,2.189,9.10116,17.9754,180.718234069983,4846.66655422655,7.70660108312065,364.461309566125
"16_19052101",3,"WL","DeepHole","2019-05-21","2019-05-21 08:56","point",8,8,"DIC","2019-05-21 08:56","run19052101","2019-05-21",2,"gc180508",16,19052101,NA,1.451,2.188,8.61642,18.7289,171.092938307346,5049.83105952878,7.29613716324319,379.738944375813
"17_19052101",3,"FE","DeepHole","2019-05-21","2019-05-21 10:08","atm",NA,NA,"atm","2019-05-21 10:08","run19052101","2019-05-21",1,"gc180508",17,19052101,NA,1.457,2.189,1.51723,1.88026,30.127052626039,506.970262428097,1.24328502120204,20.9216793058257
